LEVEL,POSITION,GENDER,COMPANY,WORK_TYPE,CITY,CURRENCY,SALARY_AVG_TL
Middle,FULL STACK DEVELOPER,Erkek,E-Ticaret,Remote,yurt_ici,TRY,20499
Junior,FRONT-END DEVELOPER,Erkek,E-Ticaret,Remote,yurt_ici,TRY,15499
Middle,BACK-END DEVELOPER,Erkek,E-Ticaret,Hibrit,yurt_ici,TRY,19499
Middle,FRONT-END DEVELOPER,Erkek,E-Ticaret,Geçici Remote,yurt_ici,TRY,28499
Middle,QA / TEST AUTOMATION DEVELOPER,Erkek,Kurumsal,Geçici Remote,yurt_disi,USD,195605
Senior,BACK-END DEVELOPER,Erkek,Startup,Geçici Remote,yurt_ici,TRY,22499
Middle,MOBILE APPLICATION DEVELOPER,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,10499
Senior,BACK-END DEVELOPER,Erkek,Startup,Remote,yurt_disi,TRY,20499
Senior,BACK-END DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,26499
Middle,FULL STACK DEVELOPER,Erkek,Startup,Remote,yurt_disi,USD,65195
Middle,FULL STACK DEVELOPER,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,TRY,15499
Senior,FULL STACK DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,17499
Senior,BACK-END DEVELOPER,Erkek,Kurumsal,Ofis,yurt_ici,TRY,27499
Junior,MOBILE APPLICATION DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,8499
Senior,BACK-END DEVELOPER,Erkek,Kurumsal,Remote,yurt_ici,TRY,16499
Junior,QA / TEST AUTOMATION DEVELOPER,Kadın,Outsource,Remote,yurt_ici,TRY,6499
Senior,BACK-END DEVELOPER,Erkek,Kurumsal,Ofis,yurt_ici,TRY,15499
Junior,BACK-END DEVELOPER,Erkek,E-Ticaret,Remote,yurt_ici,TRY,12499
Middle,FRONT-END DEVELOPER,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,12499
Senior,FULL STACK DEVELOPER,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,26499
Middle,FULL STACK DEVELOPER,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,16499
Junior,FULL STACK DEVELOPER,Erkek,Startup,Hibrit,yurt_ici,TRY,5499
Middle,GAME DEVELOPER,Erkek,Oyun,Remote,yurt_ici,TRY,25499
