LEVEL,POSITION,EXPERIENCE,GENDER,COMPANY,WORK_TYPE,CITY,CURRENCY,SALARY_AVG_TL
Middle,BACK-END DEVELOPER,3 - 5 Yıl,Erkek,Kurumsal,Remote,yurt_ici,TRY,14499
Senior,FULL STACK DEVELOPER,7 - 10 Yıl,Erkek,Dijital / Reklam Ajansı,Remote,yurt_ici,TRY,10499
Senior,BACK-END DEVELOPER,10 - 14 Yıl,Erkek,Dijital / Reklam Ajansı,Remote,yurt_ici,TRY,15499
Junior,FULL STACK DEVELOPER,0 - 1 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_ici,TRY,7499
Senior,FULL STACK DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Remote,yurt_ici,TRY,19499
Middle,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_ici,TRY,11499
Middle,BACK-END DEVELOPER,3 - 5 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,TRY,27499
Senior,FULL STACK DEVELOPER,15 Yıl ve üzeri,Erkek,Outsource,Geçici Hibrit,yurt_disi,TRY,14499
Middle,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,E-Ticaret,Remote,yurt_disi,TRY,13499
Middle,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,Startup,Remote,yurt_ici,TRY,17499
Middle,FULL STACK DEVELOPER,3 - 5 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,TRY,21499
Senior,SOFTWARE DEVELOPMENT MANAGER,10 - 14 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,39499
Middle,BACK-END DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Remote,yurt_ici,TRY,15499
Junior,MOBILE APPLICATION DEVELOPER,0 - 1 Yıl,Erkek,Startup,Remote,yurt_disi,TRY,9499
Senior,BACK-END DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Remote,yurt_ici,TRY,18499
Middle,FRONT-END DEVELOPER,1 - 3 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,TRY,20499
Middle,BACK-END DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,9499
Middle,FRONT-END DEVELOPER,3 - 5 Yıl,Kadın,Outsource,Geçici Remote,yurt_ici,TRY,12499
Middle,QA / TEST AUTOMATION DEVELOPER,3 - 5 Yıl,Erkek,E-Ticaret,Geçici Remote,yurt_ici,TRY,16499
Senior,TEAM / TECH LEAD,5 - 7 Yıl,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,TRY,29499
Middle,MOBILE APPLICATION DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,15499
Middle,BACK-END DEVELOPER,3 - 5 Yıl,Erkek,E-Ticaret,Hibrit,yurt_ici,TRY,25499
Middle,FRONT-END DEVELOPER,3 - 5 Yıl,Erkek,Oyun,Hibrit,yurt_ici,TRY,20499
Middle,MOBILE APPLICATION DEVELOPER,1 - 3 Yıl,Erkek,Startup,Remote,yurt_ici,TRY,15499
Junior,FRONT-END DEVELOPER,0 - 1 Yıl,Erkek,Startup,Remote,yurt_ici,TRY,7499
Senior,BACK-END DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,TRY,24499
Middle,FRONT-END DEVELOPER,3 - 5 Yıl,Erkek,Startup,Remote,yurt_ici,TRY,20499
Junior,QA / TEST AUTOMATION DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,TRY,10499
Middle,DEVOPS ENGINEER,1 - 3 Yıl,Kadın,E-Ticaret,Remote,yurt_ici,TRY,17499
Senior,FULL STACK DEVELOPER,5 - 7 Yıl,Erkek,Startup,Remote,yurt_ici,EUR,68135
